119.252.240.0,120.15.255.255,CN
120.16.0.0,120.23.255.255,AU
120.24.0.0,120.27.255.255,CN
120.28.0.0,120.28.255.255,PH
120.29.0.0,120.29.63.255,AU
120.29.64.0,120.29.127.255,PH
120.29.128.0,120.29.143.255,KR
120.29.144.0,120.29.149.255,JP
120.29.150.0,120.29.151.255,US
120.29.152.0,120.29.159.255,ID
120.29.160.0,120.29.191.255,JP
120.29.192.0,120.29.194.143,HK
120.29.194.144,120.29.195.255,AU
120.29.196.0,120.29.197.255,SG
120.29.198.0,120.29.199.255,JP
120.29.200.0,120.29.207.0,GU
120.29.207.1,120.29.207.255,HK
120.29.208.0,120.29.208.255,SG
120.29.209.0,120.29.210.127,HK
120.29.210.128,120.29.210.255,ID
120.29.211.0,120.29.211.255,JP
120.29.212.0,120.29.213.255,IN
120.29.214.0,120.29.215.255,SG
120.29.216.0,120.29.216.255,HK
120.29.217.0,120.29.217.255,JP
120.29.218.0,120.29.218.255,IN
120.29.219.0,120.29.219.255,AU
120.29.220.0,120.29.220.255,IN
120.29.221.0,120.29.221.255,AU
120.29.222.0,120.29.222.255,TH
120.29.223.0,120.29.223.255,SG
120.29.224.0,120.29.231.255,ID
120.29.232.0,120.29.239.255,IN
120.29.240.0,120.29.255.255,AU
120.30.0.0,120.49.255.255,CN
120.50.0.0,120.50.31.255,BD
120.50.32.0,120.50.47.255,SG
120.50.48.0,120.50.63.255,MY
120.50.64.0,120.50.159.255,KR
120.50.160.0,120.50.175.255,JP
120.50.176.0,120.50.183.255,BD
120.50.184.0,120.50.191.255,VN
120.50.192.0,120.51.255.255,JP
120.52.0.0,120.55.255.255,CN
120.56.0.0,120.63.255.255,IN
120.64.0.0,120.71.255.255,CN
120.72.0.0,120.72.15.255,JP
120.72.16.0,120.72.31.255,PH
120.72.32.0,120.72.63.255,CN
120.72.64.0,120.72.79.255,JP
120.72.80.0,120.72.87.255,VN
120.72.88.0,120.72.95.255,IN
120.72.96.0,120.72.127.255,VN
120.72.128.0,120.72.255.255,CN
120.73.0.0,120.73.255.255,KR
120.74.0.0,120.75.255.255,JP
120.76.0.0,120.87.255.255,CN
120.88.0.0,120.88.7.255,AU
120.88.8.0,120.88.15.255,CN
120.88.16.0,120.88.31.255,JP
120.88.32.0,120.88.47.255,IN
120.88.48.0,120.88.57.255,JP
120.88.58.0,120.88.63.255,US
120.88.64.0,120.88.175.255,AU
120.88.176.0,120.88.191.255,IN
120.88.192.0,120.88.255.255,HK
120.89.0.0,120.89.63.255,PH
120.89.64.0,120.89.67.255,BD
120.89.68.0,120.89.71.255,HK
120.89.72.0,120.89.79.255,IN
120.89.80.0,120.89.87.255,NZ
120.89.88.0,120.89.95.255,ID
120.89.96.0,120.89.127.255,NP
120.89.128.0,120.89.255.255,JP
120.90.0.0,120.92.255.255,CN
120.93.0.0,120.93.255.255,JP
120.94.0.0,120.95.255.255,CN
120.96.0.0,120.127.255.255,TW
120.128.0.0,120.132.63.255,CN
120.132.64.0,120.132.67.255,US
120.132.68.0,120.135.255.255,CN
120.136.0.0,120.136.7.255,NZ
120.136.8.0,120.136.15.255,JP
120.136.16.0,120.136.23.255,CN
120.136.24.0,120.136.31.255,KH
120.136.32.0,120.136.34.215,HK
120.136.34.216,120.136.34.255,JP
120.136.35.0,120.136.36.39,HK
120.136.36.40,120.136.36.247,US
120.136.36.248,120.136.47.255,HK
120.136.48.0,120.136.60.255,NZ
120.136.61.0,120.136.61.255,AU
120.136.62.0,120.136.63.255,NZ
120.136.64.0,120.136.127.255,KR
120.136.128.0,120.136.191.255,CN
120.136.192.0,120.136.255.255,JP
120.137.0.0,120.137.127.255,CN
120.137.128.0,120.137.255.255,JP
120.138.0.0,120.138.15.255,IN
120.138.16.0,120.138.31.255,NZ
120.138.32.0,120.138.32.255,HK
120.138.33.0,120.138.33.255,AU
120.138.34.0,120.138.34.255,JP
120.138.35.0,120.138.35.255,SG
120.138.36.0,120.138.36.255,HK
120.138.37.0,120.138.38.255,IN
120.138.39.0,120.138.39.255,US
120.138.40.0,120.138.41.191,HK
120.138.41.192,120.138.41.255,CN
120.138.42.0,120.138.43.255,HK
120.138.44.0,120.138.46.255,SG
120.138.47.0,120.138.47.255,AU
120.138.48.0,120.138.48.127,JP
120.138.48.128,120.138.49.255,SG
120.138.50.0,120.138.50.255,TW
120.138.51.0,120.138.52.15,US
120.138.52.16,120.138.52.255,CI
120.138.53.0,120.138.53.255,JP
120.138.54.0,120.138.54.255,HK
120.138.55.0,120.138.55.255,SG
120.138.56.0,120.138.56.255,TH
120.138.57.0,120.138.57.255,MY
120.138.58.0,120.138.63.255,US
120.138.64.0,120.138.79.255,VN
120.138.80.0,120.138.95.255,MY
120.138.96.0,120.138.127.255,IN
120.138.128.0,120.138.191.255,JP
120.138.192.0,120.138.255.255,IN
120.139.0.0,120.141.255.255,MY
120.142.0.0,120.142.255.255,KR
120.143.0.0,120.143.127.255,JP
120.143.128.0,120.143.159.255,CN
120.143.160.0,120.143.255.255,KR
120.144.0.0,120.159.255.255,AU
120.160.0.0,120.191.255.255,ID
120.192.0.0,120.255.255.255,CN
