221.240.0.0,222.15.255.255,JP
222.16.0.0,222.95.255.255,CN
222.96.0.0,222.122.255.255,KR
222.123.0.0,222.123.255.255,TH
222.124.0.0,222.124.255.255,ID
222.125.0.0,222.125.255.255,CN
222.126.0.0,222.126.127.255,PH
222.126.128.0,222.126.255.255,CN
222.127.0.0,222.127.255.255,PH
222.128.0.0,222.143.255.255,CN
222.144.0.0,222.151.255.255,JP
222.152.0.0,222.155.255.255,NZ
222.156.0.0,222.157.255.255,TW
222.158.0.0,222.159.255.255,JP
222.160.0.0,222.163.255.255,CN
222.164.0.0,222.165.127.255,SG
222.165.128.0,222.165.191.255,LK
222.165.192.0,222.165.255.255,ID
222.166.0.0,222.167.255.255,HK
222.168.0.0,222.223.255.255,CN
222.224.0.0,222.228.17.255,JP
222.228.18.0,222.228.20.255,AU
222.228.21.0,222.228.21.255,JP
222.228.22.0,222.228.29.255,AU
222.228.30.0,222.228.203.255,JP
222.228.204.0,222.228.211.255,AU
222.228.212.0,222.228.226.127,JP
222.228.226.128,222.228.226.255,AU
222.228.227.0,222.228.238.255,JP
222.228.239.0,222.228.239.255,AU
222.228.240.0,222.228.244.255,JP
222.228.245.0,222.228.245.255,AU
222.228.246.0,222.228.249.255,JP
222.228.250.0,222.228.251.39,AU
222.228.251.40,222.229.79.255,JP
222.229.80.0,222.229.87.255,ID
222.229.88.0,222.229.95.255,AU
222.229.96.0,222.230.255.255,JP
222.231.0.0,222.231.63.255,KR
222.231.64.0,222.231.255.255,JP
222.232.0.0,222.239.255.255,KR
222.240.0.0,222.249.255.255,CN
222.250.0.0,222.251.127.255,TW
222.251.128.0,222.251.255.255,KR
222.252.0.0,222.255.255.255,VN
