115.0.0.0,115.23.255.255,KR
115.24.0.0,115.29.255.255,CN
115.30.0.0,115.30.31.255,JP
115.30.32.0,115.30.63.255,AU
115.30.64.0,115.30.127.255,TW
115.30.128.0,115.31.63.255,JP
115.31.64.0,115.31.79.255,CN
115.31.80.0,115.31.87.255,JP
115.31.88.0,115.31.95.255,AU
115.31.96.0,115.31.127.255,KR
115.31.128.0,115.31.191.255,TH
115.31.192.0,115.31.223.255,JP
115.31.224.0,115.31.255.255,SG
115.32.0.0,115.35.255.255,CN
115.36.0.0,115.39.255.255,JP
115.40.0.0,115.41.255.255,KR
115.42.0.0,115.42.31.255,AU
115.42.32.0,115.42.51.255,IN
115.42.52.0,115.42.55.255,BD
115.42.56.0,115.42.59.255,CN
115.42.60.0,115.42.63.255,HK
115.42.64.0,115.42.79.255,PK
115.42.80.0,115.42.95.255,TW
115.42.96.0,115.42.111.255,JP
115.42.112.0,115.42.119.255,TW
115.42.120.0,115.42.127.255,PH
115.42.128.0,115.42.255.255,SG
115.43.0.0,115.43.255.255,TW
115.44.0.0,115.63.255.255,CN
115.64.0.0,115.64.255.255,AU
115.65.0.0,115.65.255.255,JP
115.66.0.0,115.66.255.255,SG
115.67.0.0,115.67.255.255,TH
115.68.0.0,115.68.255.255,KR
115.69.0.0,115.69.63.255,AU
115.69.64.0,115.69.79.255,CN
115.69.80.0,115.69.95.255,IN
115.69.96.0,115.69.127.255,KR
115.69.128.0,115.69.159.255,IN
115.69.160.0,115.69.191.255,NZ
115.69.192.0,115.69.207.255,JP
115.69.208.0,115.69.215.255,BD
115.69.216.0,115.69.223.255,ID
115.69.224.0,115.69.239.255,JP
115.69.240.0,115.69.255.255,IN
115.70.0.0,115.70.255.255,AU
115.71.0.0,115.71.255.255,KR
115.72.0.0,115.79.255.255,VN
115.80.0.0,115.83.255.255,TW
115.84.0.0,115.84.63.255,CN
115.84.64.0,115.84.127.255,LA
115.84.128.0,115.84.159.255,MV
115.84.160.0,115.84.167.255,KR
115.84.168.0,115.84.175.255,PH
115.84.176.0,115.84.183.255,VN
115.84.184.0,115.84.191.255,JP
115.84.192.0,115.84.223.255,CN
115.84.224.0,115.85.63.255,PH
115.85.64.0,115.85.95.255,ID
115.85.96.0,115.85.127.255,JP
115.85.128.0,115.85.128.255,MY
115.85.129.0,115.85.129.255,AU
115.85.130.0,115.85.131.255,US
115.85.132.0,115.85.132.255,AE
115.85.133.0,115.85.133.255,US
115.85.134.0,115.85.134.255,AU
115.85.135.0,115.85.135.255,US
115.85.136.0,115.85.143.255,JP
115.85.144.0,115.85.159.255,TW
115.85.160.0,115.85.191.255,KR
115.85.192.0,115.85.255.255,CN
115.86.0.0,115.86.255.255,KR
115.87.0.0,115.87.255.255,TH
115.88.0.0,115.95.255.255,KR
115.96.0.0,115.99.255.255,IN
115.100.0.0,115.107.255.255,CN
115.108.0.0,115.119.255.255,IN
115.120.0.0,115.123.255.255,CN
115.124.0.0,115.124.15.255,AU
115.124.16.0,115.124.31.255,CN
115.124.32.0,115.124.35.255,AU
115.124.36.0,115.124.39.255,ES
115.124.40.0,115.124.47.255,IN
115.124.48.0,115.124.63.255,JP
115.124.64.0,115.124.95.255,ID
115.124.96.0,115.124.109.255,IN
115.124.110.0,115.124.110.255,GB
