129.36.224.0,129.36.224.255,US
129.36.225.0,129.36.225.255,GB
129.36.226.0,129.36.226.255,US
129.36.227.0,129.36.227.255,GB
129.36.228.0,129.36.233.255,US
129.36.234.0,129.36.234.255,GB
129.36.235.0,129.36.236.255,US
129.36.237.0,129.36.237.255,GB
129.36.238.0,129.36.240.255,US
129.36.241.0,129.36.241.255,GB
129.36.242.0,129.36.244.255,US
129.36.245.0,129.36.245.255,GB
129.36.246.0,129.36.247.255,US
129.36.248.0,129.36.249.255,GB
129.36.250.0,129.36.250.255,US
129.36.251.0,129.36.251.255,GB
129.36.252.0,129.36.254.255,US
129.36.255.0,129.36.255.255,GB
129.37.0.0,129.41.43.255,US
129.41.44.0,129.41.44.255,GB
129.41.45.0,129.41.45.255,US
129.41.46.0,129.41.46.255,NL
129.41.47.0,129.41.47.255,DE
129.41.48.0,129.41.75.255,US
129.41.76.0,129.41.77.255,NL
129.41.78.0,129.41.79.255,AU
129.41.80.0,129.41.83.255,SG
129.41.84.0,129.41.87.255,US
129.41.88.0,129.41.89.255,DE
129.41.90.0,129.41.90.255,US
129.41.91.0,129.41.91.255,CA
129.41.92.0,129.41.163.255,US
129.41.164.0,129.41.165.255,IN
129.41.166.0,129.41.166.255,US
129.41.167.0,129.41.167.255,NL
129.41.168.0,129.41.174.255,US
129.41.175.0,129.41.175.255,SG
129.41.176.0,129.41.177.255,US
129.41.178.0,129.41.178.255,IN
129.41.179.0,129.41.179.255,US
129.41.180.0,129.41.180.255,BR
129.41.181.0,129.41.181.255,CA
129.41.182.0,129.41.182.255,AU
129.41.183.0,129.41.183.255,JP
129.41.184.0,129.41.184.255,DE
129.41.185.0,129.41.185.255,GB
129.41.186.0,129.41.186.255,US
129.41.187.0,129.41.187.255,GB
129.41.188.0,129.41.219.255,US
129.41.220.0,129.41.220.255,BR
129.41.221.0,129.41.221.255,US
129.41.222.0,129.41.222.255,SG
129.41.223.0,129.41.223.255,BR
129.41.224.0,129.42.9.255,US
129.42.10.0,129.42.11.255,GB
129.42.12.0,129.42.19.255,US
129.42.20.0,129.42.20.255,GB
129.42.21.0,129.42.49.255,US
129.42.50.0,129.42.51.255,GB
129.42.52.0,129.42.53.255,US
129.42.54.0,129.42.55.255,GB
129.42.56.0,129.44.255.255,US
129.45.0.0,129.45.127.255,DZ
129.45.128.0,129.45.255.255,BF
129.46.0.0,129.55.255.255,US
129.56.0.0,129.56.1.255,NG
129.56.2.0,129.56.2.255,PT
129.56.3.0,129.56.5.255,NG
129.56.6.0,129.56.6.255,PT
129.56.7.0,129.56.31.255,NG
129.56.32.0,129.56.39.255,PT
129.56.40.0,129.56.255.255,NG
129.57.0.0,129.59.255.255,US
129.60.0.0,129.60.255.255,JP
129.61.0.0,129.66.255.255,US
129.67.0.0,129.67.255.255,GB
129.68.0.0,129.68.255.255,US
129.69.0.0,129.70.255.255,DE
129.71.0.0,129.72.255.255,US
129.73.0.0,129.73.255.255,CR
129.74.0.0,129.77.255.255,US
129.78.0.0,129.78.255.255,AU
129.79.0.0,129.87.255.255,US
129.88.0.0,129.88.255.255,FR
129.89.0.0,129.89.255.255,US
129.90.0.0,129.90.255.255,VE
129.91.0.0,129.91.15.255,BR
